"","Staphylococcaceae","Helicobacteraceae","Bacillaceae","Moraxellaceae","Listeriaceae","Neisseriaceae","Clostridiaceae","Bacteroidaceae","Streptococcaceae","Enterobacteriaceae","Enterococcaceae","Deinococcaceae","Rhodobacteraceae","Lactobacillaceae","Pseudomonadaceae","Actinomycetaceae","Propionibacteriaceae","Lachnospiraceae","Ruminococcaceae","Prevotellaceae","Bacilli(Class)","Akkermansiaceae","Erysipelatoclostridiaceae","Clostridiales(Order)","Rikenellaceae"
"Mock1_F_filt.fastq.gz",0.132300525814306,0.107174365670325,0.0719201044570703,0.0632388749691216,0.0641564032889861,0.0731552387338109,0.0560750961640258,0.0546282245827011,0.099692980908353,0.0465469174577408,0.0350425239086706,0.0562868334686099,0.0383950312312524,0.0272082436390585,0.0496876874757384,0.0205032289938949,0.00179976708896496,0.000882238769100469,0.0005646328122243,0.000423474609168225,0,0,0.000317605956876169,0,0
"Mock2_F_filt.fastq.gz",0.12286739134393,0.10283862274904,0.0654758653338432,0.0613426558147157,0.0617068152437137,0.0792410917499681,0.0566632071520912,0.0695180349957211,0.0911126891353034,0.0428615647930664,0.0290781304054915,0.0560623440942445,0.0501083374301269,0.0314633746654285,0.054314378835054,0.0231787476557237,0.00127455800149305,0,0,0.000291327543198412,0.000455199286247519,0,0,7.28318857996031e-05,7.28318857996031e-05
"Mock3_F_filt.fastq.gz",0.154711092753224,0.0950020652622883,0.0900821515443572,0.0876589104594061,0.0841617329845335,0.0594887328468493,0.0691358024691358,0.0748818211023911,0.0990132635733627,0.0340447014548625,0.0437101289641562,0.0181651291936298,0.0253338840699435,0.0340630593418697,0.0108678691082656,0.0194501812841342,0.000119326265546836,3.67157740144109e-05,0,0,0,7.34315480288219e-05,0,0,0
